algorithm,run_id,step,dataset_name,mean_action_dist,lambda
none,g80s8lwg,42,antmaze-large-diverse-v2,0.5981063842773438,1.0
none,g80s8lwg,43,antmaze-large-diverse-v2,0.6024444103240967,1.0
none,g80s8lwg,44,antmaze-large-diverse-v2,0.6273192167282104,1.0
none,g80s8lwg,45,antmaze-large-diverse-v2,0.5892000198364258,1.0
none,g80s8lwg,46,antmaze-large-diverse-v2,0.5744466185569763,1.0
none,g80s8lwg,47,antmaze-large-diverse-v2,0.5719438791275024,1.0
none,g80s8lwg,48,antmaze-large-diverse-v2,0.5623317956924438,1.0
none,g80s8lwg,49,antmaze-large-diverse-v2,0.5905358791351318,1.0
pbrl,jvo8hz15,0,antmaze-large-diverse-v2,1.100271224975586,0.01
pbrl,jvo8hz15,1,antmaze-large-diverse-v2,1.0849651098251343,0.01
pbrl,jvo8hz15,2,antmaze-large-diverse-v2,1.0593396425247192,0.01
pbrl,jvo8hz15,3,antmaze-large-diverse-v2,0.9098944664001465,0.01
pbrl,jvo8hz15,4,antmaze-large-diverse-v2,0.9837876558303833,0.01
pbrl,jvo8hz15,5,antmaze-large-diverse-v2,1.0305275917053223,0.01
pbrl,jvo8hz15,6,antmaze-large-diverse-v2,0.9731304049491882,0.01
pbrl,jvo8hz15,7,antmaze-large-diverse-v2,1.005795955657959,0.01
pbrl,jvo8hz15,8,antmaze-large-diverse-v2,0.92268306016922,0.01
pbrl,jvo8hz15,9,antmaze-large-diverse-v2,0.8221397399902344,0.01
pbrl,jvo8hz15,10,antmaze-large-diverse-v2,0.8807061314582825,0.01
pbrl,jvo8hz15,11,antmaze-large-diverse-v2,0.8115154504776001,0.01
pbrl,jvo8hz15,12,antmaze-large-diverse-v2,0.888593316078186,0.01
pbrl,jvo8hz15,13,antmaze-large-diverse-v2,0.9122673869132996,0.01
pbrl,jvo8hz15,14,antmaze-large-diverse-v2,0.9153602123260498,0.01
pbrl,jvo8hz15,15,antmaze-large-diverse-v2,0.8977912068367004,0.01
pbrl,jvo8hz15,16,antmaze-large-diverse-v2,0.9071900844573975,0.01
pbrl,jvo8hz15,17,antmaze-large-diverse-v2,0.8742202520370483,0.01
pbrl,jvo8hz15,18,antmaze-large-diverse-v2,0.8920453786849976,0.01
pbrl,jvo8hz15,19,antmaze-large-diverse-v2,0.9248335361480713,0.01
pbrl,jvo8hz15,20,antmaze-large-diverse-v2,0.9154714345932007,0.01
pbrl,jvo8hz15,21,antmaze-large-diverse-v2,0.960605263710022,0.01
pbrl,jvo8hz15,22,antmaze-large-diverse-v2,0.9228756427764893,0.01
pbrl,jvo8hz15,23,antmaze-large-diverse-v2,0.9622383117675781,0.01
pbrl,jvo8hz15,24,antmaze-large-diverse-v2,0.9250950217247009,0.01
pbrl,jvo8hz15,25,antmaze-large-diverse-v2,0.8927833437919617,0.01
pbrl,jvo8hz15,26,antmaze-large-diverse-v2,0.8624846935272217,0.01
pbrl,jvo8hz15,27,antmaze-large-diverse-v2,0.924247682094574,0.01
pbrl,jvo8hz15,28,antmaze-large-diverse-v2,0.8668352365493774,0.01
pbrl,jvo8hz15,29,antmaze-large-diverse-v2,0.8591545820236206,0.01
pbrl,jvo8hz15,30,antmaze-large-diverse-v2,0.8778412938117981,0.01
pbrl,jvo8hz15,31,antmaze-large-diverse-v2,0.9196900129318237,0.01
pbrl,jvo8hz15,32,antmaze-large-diverse-v2,0.8722895979881287,0.01
pbrl,jvo8hz15,33,antmaze-large-diverse-v2,0.8660023212432861,0.01
pbrl,jvo8hz15,34,antmaze-large-diverse-v2,0.8632757663726807,0.01
pbrl,jvo8hz15,35,antmaze-large-diverse-v2,0.9004073739051819,0.01
pbrl,jvo8hz15,36,antmaze-large-diverse-v2,0.9442486763000488,0.01
pbrl,jvo8hz15,37,antmaze-large-diverse-v2,0.8967012166976929,0.01
pbrl,jvo8hz15,38,antmaze-large-diverse-v2,0.9180986881256104,0.01
pbrl,jvo8hz15,39,antmaze-large-diverse-v2,0.926403284072876,0.01
